🐦️
🇨🇳｜央视高清,#genre#
CCTV1,http://39.134.115.163:8080/PLTV/88888888/224/3221225642/index.m3u8
CCTV2,http://39.134.115.163:8080/PLTV/88888888/224/3221225643/index.m3u8
CCTV3,http://39.134.115.163:8080/PLTV/88888888/224/3221225634/index.m3u8
CCTV4,http://39.134.115.163:8080/PLTV/88888888/224/3221225621/index.m3u8
CCTV5,http://39.134.115.163:8080/PLTV/88888888/224/3221225633/index.m3u8
CCTV5+,http://39.134.115.163:8080/PLTV/88888888/224/3221225706/index.m3u8
CCTV6,http://39.134.115.163:8080/PLTV/88888888/224/3221225632/index.m3u8
CCTV7,http://39.134.115.163:8080/PLTV/88888888/224/3221225644/index.m3u8
CCTV8,http://39.134.115.163:8080/PLTV/88888888/224/3221225631/index.m3u8
CCTV9,http://39.134.115.163:8080/PLTV/88888888/224/3221225646/index.m3u8
CCTV10,http://39.134.115.163:8080/PLTV/88888888/224/3221225636/index.m3u8
CCTV11,http://39.134.115.163:8080/PLTV/88888888/224/3221225628/index.m3u8
CCTV12,http://39.134.115.163:8080/PLTV/88888888/224/3221225637/index.m3u8
CCTV13,http://39.134.115.163:8080/PLTV/88888888/224/3221225638/index.m3u8
CCTV14,http://39.134.115.163:8080/PLTV/88888888/224/3221225640/index.m3u8
CCTV15,http://39.134.115.163:8080/PLTV/88888888/224/3221225641/index.m3u8
CCTV16 8M1080,http://39.134.115.163:8080/PLTV/88888888/224/3221226233/index.m3u8
CCTV17,http://39.134.115.163:8080/PLTV/88888888/224/3221225909/index.m3u8
CCTV4K,http://159.75.85.63:5681/sxg.php?id=ys4Kcq_2000
CCTV16 4K,http://159.75.85.63:5681/sxg.php?id=CCTV-16-4K_8000
CCTV|4K,https://epg.pw/stream/d927980725ee233b8b989e637788d4f9551c5f841300d015a8afb274aaf80ab4.ctv
🇨🇳｜江西频道,#genre#
江西都市,http://39.134.115.163:8080/PLTV/88888888/224/3221225584/index.m3u8?fmt=ts2hls
江西少儿,http://39.134.115.163:8080/PLTV/88888888/224/3221226194/index.m3u8?fmt=ts2hls
江西教育,http://39.134.115.163:8080/PLTV/88888888/224/3221226197/index.m3u8?fmt=ts2hls
江西新闻,http://39.134.115.163:8080/PLTV/88888888/224/3221225615/index.m3u8?fmt=ts2hls
江西经济生活,http://39.134.115.163:8080/PLTV/88888888/224/3221226206/index.m3u8?fmt=ts2hls
江西公共农业,http://39.134.115.163:8080/PLTV/88888888/224/3221225578/index.m3u8?fmt=ts2hls
江西影视旅游,http://39.134.115.163:8080/PLTV/88888888/224/3221225579/index.m3u8?fmt=ts2hls
七彩戏剧 8M,https://live.v1.mk/api/bestv.php?id=qcxjhd8m/8000000
中国气象, http://hls.weathertv.cn/tslslive/qCFIfHB/hls/live_sd.m3u8
中国气,https://live.v1.mk/api/bestv.php?id=zgqx/1300000
七彩戏剧,http://183.207.255.188/live/program/live/qcxjhd8m/8000000/mnf.m3u8
中国|气象,http://183.207.255.188/live/program/live/zgqx/1300000/mnf.m3u8
🇨🇳｜卫视频道,#genre#
纯享4K,http://39.134.115.163:8080/PLTV/88888888/224/3221225786/index.m3u8
东南卫视,http://39.134.115.163:8080/PLTV/88888888/224/3221225585/index.m3u8?fmt=ts2hls
东方卫视,http://39.134.115.163:8080/PLTV/88888888/224/3221225659/index.m3u8
北京卫视,http://39.134.115.163:8080/PLTV/88888888/224/3221225674/index.m3u8
四川卫视,http://39.134.115.163:8080/PLTV/88888888/224/3221225487/index.m3u8?fmt=ts2hls
天津卫视,http://39.134.115.163:8080/PLTV/88888888/224/3221225698/index.m3u8
安徽卫视,http://39.134.115.163:8080/PLTV/88888888/224/3221225691/index.m3u8
山东卫视,http://39.134.115.163:8080/PLTV/88888888/224/3221225697/index.m3u8
广东卫视,http://39.134.115.163:8080/PLTV/88888888/224/3221225701/index.m3u8
广西卫视,http://39.134.115.163:8080/PLTV/88888888/224/3221226211/index.m3u8?fmt=ts2hls
江苏卫视,http://39.134.115.163:8080/PLTV/88888888/224/3221225702/index.m3u8
江西卫视,http://39.134.115.163:8080/PLTV/88888888/224/3221225492/index.m3u8?fmt=ts2hls
河北卫视,http://39.134.115.163:8080/PLTV/88888888/224/3221225610/index.m3u8?fmt=ts2hls
河南卫视,http://39.134.115.163:8080/PLTV/88888888/224/3221225611/index.m3u8?fmt=ts2hls
浙江卫视,http://39.134.115.163:8080/PLTV/88888888/224/3221225703/index.m3u8
海南卫视,http://39.134.115.163:8080/PLTV/88888888/224/3221226212/index.m3u8?fmt=ts2hls
深圳卫视,http://39.134.115.163:8080/PLTV/88888888/224/3221225700/index.m3u8
湖北卫视,http://39.134.115.163:8080/PLTV/88888888/224/3221225699/index.m3u8
湖南卫视,http://39.134.115.163:8080/PLTV/88888888/224/3221225704/index.m3u8
贵州卫视,http://39.134.115.163:8080/PLTV/88888888/224/3221225483/index.m3u8?fmt=ts2hls
辽宁卫视,http://39.134.115.163:8080/PLTV/88888888/224/3221225696/index.m3u8
重庆卫视,http://39.134.115.163:8080/PLTV/88888888/224/3221225692/index.m3u8
黑龙江卫视,http://39.134.115.163:8080/PLTV/88888888/224/3221225690/index.m3u8
云南卫视,http://39.134.115.163:8080/PLTV/88888888/224/3221225664/index.m3u8
吉林卫视,http://39.134.115.163:8080/PLTV/88888888/224/3221225680/index.m3u8
海南卫视,http://39.134.115.163:8080/PLTV/88888888/224/3221225722/index.m3u8
甘肃卫视,http://39.134.115.163:8080/PLTV/88888888/224/3221225724/index.m3u8
青海卫视,http://39.134.115.163:8080/PLTV/88888888/224/3221225727/index.m3u8
上海纪实人文,http://39.134.115.163:8080/PLTV/88888888/224/3221225655/index.m3u8
北京冬奥纪实,http://39.134.115.163:8080/PLTV/88888888/224/3221225676/index.m3u8
湖南快乐垂钓,http://39.134.115.163:8080/PLTV/88888888/224/3221225780/index.m3u8?fmt=ts2hls
湖南茶频道,http://39.134.115.163:8080/PLTV/88888888/224/3221225781/index.m3u8?fmt=ts2hls
湖南金鹰纪实,http://39.134.115.163:8080/PLTV/88888888/224/3221225595/index.m3u8?fmt=ts2hls
🇨🇳｜凤凰CHC频道,#genre#
中国教育1,http://39.134.115.163:8080/PLTV/88888888/224/3221225917/index.m3u8?fmt=ts2hls
中国教育4,http://39.134.115.163:8080/PLTV/88888888/224/3221225937/index.m3u8
CGTN,http://39.134.115.163:8080/PLTV/88888888/224/3221225747/index.m3u8
CGTN纪录,http://39.134.115.163:8080/PLTV/88888888/224/3221225645/index.m3u8
CHC高清电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226463/index.m3u8
CHC高清,http://111.20.105.60:6060/yinhe/2/ch00000090990000002065/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC动作电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226465/index.m3u8
CHC动作,http://111.20.105.60:6060/yinhe/2/ch00000090990000002055/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC家庭影院,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226462/index.m3u8
CHC家庭,http://111.20.105.60:6060/yinhe/2/ch00000090990000002085/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
凤凰中文,http://39.134.115.163:8080/PLTV/88888910/224/3221226248/index.m3u8
凤凰资讯,http://39.134.115.163:8080/PLTV/88888910/224/3221226274/index.m3u8
凤凰香港,http://39.134.115.163:8080/PLTV/88888910/224/3221226251/index.m3u8
CNC4M720,http://39.134.115.163:8080/PLTV/88888888/224/3221225693/index.m3u8
CNC 4M720,http://39.134.115.163:8080/PLTV/88888888/224/3221225694/index.m3u8

🇨🇳｜NewTV,#genre#
NewTV东北热剧 4M1080,http://39.134.115.163:8080/PLTV/88888888/224/3221226202/index.m3u8
NewTV中国功夫 4M1080,http://39.134.115.163:8080/PLTV/88888888/224/3221225660/index.m3u8
NewTV军事评论 4M1080,http://39.134.115.163:8080/PLTV/88888888/224/3221225757/index.m3u8
NewTV军旅剧场 4M1080,http://39.134.115.163:8080/PLTV/88888888/224/3221225669/index.m3u8
NewTV农业致富 4M1080,http://39.134.115.163:8080/PLTV/88888888/224/3221225670/index.m3u8
NewTV古装剧场 4M1080,http://39.134.115.163:8080/PLTV/88888888/224/3221225678/index.m3u8
